Unnamed: 0,source,destination,source_lat,source_long,destination_lat,destination_long
0,Theatre District,Fenway,42.3519,-71.0643,42.3451868,-71.1045987
1,Beacon Hill,Haymarket Square,42.3587085,-71.067829,42.3629502,-71.0578447
2,Northeastern University,North Station,42.3389545,-71.088058,42.3652821,-71.0601496
3,Fenway,Back Bay,42.3451868,-71.1045987,42.3507067,-71.0797297
4,Northeastern University,Beacon Hill,42.3389545,-71.088058,42.3587085,-71.067829
5,Back Bay,Haymarket Square,42.3507067,-71.0797297,42.3629502,-71.0578447
6,Haymarket Square,Financial District,42.3629502,-71.0578447,42.355838,-71.0556165
7,South Station,Financial District,42.3525085,-71.0549447,42.355838,-71.0556165
9,Financial District,Fenway,42.355838,-71.0556165,42.3451868,-71.1045987
10,South Station,Theatre District,42.3525085,-71.0549447,42.3519,-71.0643
11,Theatre District,South Station,42.3519,-71.0643,42.3525085,-71.0549447
12,South Station,North Station,42.3525085,-71.0549447,42.3652821,-71.0601496
13,Fenway,Theatre District,42.3451868,-71.1045987,42.3519,-71.0643
14,South Station,Back Bay,42.3525085,-71.0549447,42.3507067,-71.0797297
15,Fenway,North Station,42.3451868,-71.1045987,42.3652821,-71.0601496
17,Back Bay,Fenway,42.3507067,-71.0797297,42.3451868,-71.1045987
18,Theatre District,Haymarket Square,42.3519,-71.0643,42.3629502,-71.0578447
19,Fenway,Financial District,42.3451868,-71.1045987,42.355838,-71.0556165
20,Boston University,Financial District,42.3504215,-71.1032283,42.355838,-71.0556165
21,Financial District,Boston University,42.355838,-71.0556165,42.3504215,-71.1032283
23,North End,West End,42.3650974,-71.0544954,42.3639186,-71.0638993
26,Haymarket Square,Beacon Hill,42.3629502,-71.0578447,42.3587085,-71.067829
27,Theatre District,Northeastern University,42.3519,-71.0643,42.3389545,-71.088058
28,Boston University,Beacon Hill,42.3504215,-71.1032283,42.3587085,-71.067829
30,North Station,South Station,42.3652821,-71.0601496,42.3525085,-71.0549447
31,North Station,Boston University,42.3652821,-71.0601496,42.3504215,-71.1032283
33,West End,Northeastern University,42.3639186,-71.0638993,42.3389545,-71.088058
34,Northeastern University,Financial District,42.3389545,-71.088058,42.355838,-71.0556165
35,Haymarket Square,West End,42.3629502,-71.0578447,42.3639186,-71.0638993
36,Beacon Hill,Boston University,42.3587085,-71.067829,42.3504215,-71.1032283
37,North Station,Northeastern University,42.3652821,-71.0601496,42.3389545,-71.088058
38,Northeastern University,West End,42.3389545,-71.088058,42.3639186,-71.0638993
43,Boston University,West End,42.3504215,-71.1032283,42.3639186,-71.0638993
44,Northeastern University,Back Bay,42.3389545,-71.088058,42.3507067,-71.0797297
47,North Station,Fenway,42.3652821,-71.0601496,42.3451868,-71.1045987
48,Financial District,South Station,42.355838,-71.0556165,42.3525085,-71.0549447
49,Beacon Hill,Fenway,42.3587085,-71.067829,42.3451868,-71.1045987
50,Theatre District,Boston University,42.3519,-71.0643,42.3504215,-71.1032283
51,Financial District,North End,42.355838,-71.0556165,42.3650974,-71.0544954
54,Haymarket Square,Theatre District,42.3629502,-71.0578447,42.3519,-71.0643
57,Northeastern University,Theatre District,42.3389545,-71.088058,42.3519,-71.0643
58,West End,Boston University,42.3639186,-71.0638993,42.3504215,-71.1032283
59,West End,North End,42.3639186,-71.0638993,42.3650974,-71.0544954
62,North End,Theatre District,42.3650974,-71.0544954,42.3519,-71.0643
64,North End,North Station,42.3650974,-71.0544954,42.3652821,-71.0601496
65,Haymarket Square,Back Bay,42.3629502,-71.0578447,42.3507067,-71.0797297
74,Boston University,Theatre District,42.3504215,-71.1032283,42.3519,-71.0643
76,Beacon Hill,North End,42.3587085,-71.067829,42.3650974,-71.0544954
77,Financial District,Haymarket Square,42.355838,-71.0556165,42.3629502,-71.0578447
78,North End,Financial District,42.3650974,-71.0544954,42.355838,-71.0556165
82,West End,South Station,42.3639186,-71.0638993,42.3525085,-71.0549447
86,Fenway,West End,42.3451868,-71.1045987,42.3639186,-71.0638993
95,Back Bay,Boston University,42.3507067,-71.0797297,42.3504215,-71.1032283
125,Fenway,Beacon Hill,42.3451868,-71.1045987,42.3587085,-71.067829
127,Back Bay,North End,42.3507067,-71.0797297,42.3650974,-71.0544954
132,Beacon Hill,Northeastern University,42.3587085,-71.067829,42.3389545,-71.088058
138,Back Bay,Northeastern University,42.3507067,-71.0797297,42.3389545,-71.088058
158,South Station,Beacon Hill,42.3525085,-71.0549447,42.3587085,-71.067829
163,Theatre District,North End,42.3519,-71.0643,42.3650974,-71.0544954
167,North Station,Haymarket Square,42.3652821,-71.0601496,42.3629502,-71.0578447
168,Back Bay,South Station,42.3507067,-71.0797297,42.3525085,-71.0549447
172,Financial District,Northeastern University,42.355838,-71.0556165,42.3389545,-71.088058
173,Beacon Hill,South Station,42.3587085,-71.067829,42.3525085,-71.0549447
174,North Station,North End,42.3652821,-71.0601496,42.3650974,-71.0544954
176,Haymarket Square,North Station,42.3629502,-71.0578447,42.3652821,-71.0601496
203,Boston University,Back Bay,42.3504215,-71.1032283,42.3507067,-71.0797297
206,West End,Fenway,42.3639186,-71.0638993,42.3451868,-71.1045987
211,West End,Haymarket Square,42.3639186,-71.0638993,42.3629502,-71.0578447
233,Boston University,North Station,42.3504215,-71.1032283,42.3652821,-71.0601496
251,North End,Back Bay,42.3650974,-71.0544954,42.3507067,-71.0797297
285,South Station,West End,42.3525085,-71.0549447,42.3639186,-71.0638993
298,North End,Beacon Hill,42.3650974,-71.0544954,42.3587085,-71.067829
