source,destination,eta_minutes
North End,West End,7.75105
Beacon Hill,South Station,10.896666666666667
North Station,Fenway,13.93795
North End,Beacon Hill,12.600566666666667
Boston University,North Station,15.7431
South Station,Back Bay,12.912766666666666
Fenway,North Station,18.218683333333335
Theatre District,North End,1794.4328166666667
West End,Northeastern University,13.099883333333334
North End,Back Bay,19.508699999999997
Back Bay,North End,20.087733333333333
Fenway,Financial District,22.90666666666667
West End,Fenway,11.789533333333333
South Station,Theatre District,1789.3399666666667
North End,Theatre District,1799.27435
Northeastern University,Beacon Hill,12.323333333333332
Theatre District,Fenway,1788.5311166666665
Northeastern University,North Station,17.02995
Northeastern University,Theatre District,1790.6364666666666
Back Bay,Boston University,9.064333333333334
Haymarket Square,Back Bay,15.40895
Beacon Hill,Northeastern University,14.407516666666668
West End,South Station,10.473466666666667
Haymarket Square,Beacon Hill,9.605866666666666
South Station,Beacon Hill,12.885766666666665
South Station,North Station,13.010116666666667
Haymarket Square,Financial District,6.96415
Back Bay,South Station,15.75065
Beacon Hill,North End,13.3647
Haymarket Square,Theatre District,1794.6122333333333
West End,Boston University,9.88195
North End,North Station,6.6284833333333335
North End,Financial District,11.466199999999999
Back Bay,Northeastern University,8.669483333333334
Financial District,Northeastern University,19.877533333333336
Financial District,North End,9.644666666666666
Boston University,Beacon Hill,11.036483333333333
Theatre District,Haymarket Square,1796.3885333333335
Theatre District,South Station,1790.1293
Haymarket Square,West End,6.031183333333333
Haymarket Square,North Station,3.6173
Financial District,South Station,3.5742166666666666
Fenway,Beacon Hill,13.512049999999999
Boston University,Back Bay,10.14515
North Station,Northeastern University,15.2483
Back Bay,Fenway,9.189066666666667
Northeastern University,Financial District,19.51631666666667
South Station,Financial District,3.83385
Boston University,West End,13.377183333333333
North Station,North End,5.562866666666666
North Station,Haymarket Square,3.3365
Northeastern University,Back Bay,9.664383333333335
West End,North End,6.8259
Fenway,Theatre District,1791.9309833333332
Financial District,Boston University,17.087683333333334
Beacon Hill,Haymarket Square,8.556216666666668
Theatre District,Boston University,1788.3402333333333
Back Bay,Haymarket Square,16.410333333333334
Fenway,Back Bay,13.30585
Beacon Hill,Boston University,11.887599999999999
Theatre District,Northeastern University,1789.1662833333332
Fenway,West End,15.852766666666668
Financial District,Haymarket Square,11.366000000000001
North Station,South Station,12.5303
Northeastern University,West End,14.664033333333332
Financial District,Fenway,18.995283333333337
West End,Haymarket Square,2.965233333333333
Boston University,Theatre District,1788.3902333333333
North Station,Boston University,12.030366666666668
South Station,West End,11.343866666666665
Boston University,Financial District,20.181533333333334
Beacon Hill,Fenway,13.7952
