,source,destination
0,North End,West End
7,Beacon Hill,South Station
14,North Station,Fenway
28,North End,Beacon Hill
31,Boston University,North Station
45,South Station,Back Bay
52,Fenway,North Station
59,Theatre District,North End
66,West End,Northeastern University
73,North End,Back Bay
87,Back Bay,North End
93,Fenway,Financial District
100,West End,Fenway
107,South Station,Theatre District
108,North End,Theatre District
120,Northeastern University,Beacon Hill
127,Theatre District,Fenway
134,Northeastern University,North Station
138,Northeastern University,Theatre District
145,Back Bay,Boston University
159,Haymarket Square,Back Bay
166,Beacon Hill,Northeastern University
184,West End,South Station
191,Haymarket Square,Beacon Hill
198,South Station,Beacon Hill
205,South Station,North Station
212,Haymarket Square,Financial District
219,Back Bay,South Station
226,Beacon Hill,North End
233,Haymarket Square,Theatre District
240,West End,Boston University
247,North End,North Station
254,North End,Financial District
268,Back Bay,Northeastern University
275,Financial District,Northeastern University
298,Financial District,North End
304,Boston University,Beacon Hill
311,Theatre District,Haymarket Square
327,Theatre District,South Station
362,Haymarket Square,West End
369,Haymarket Square,North Station
372,Financial District,South Station
379,Fenway,Beacon Hill
393,Boston University,Back Bay
410,North Station,Northeastern University
431,Back Bay,Fenway
438,Northeastern University,Financial District
480,South Station,Financial District
508,Boston University,West End
537,North Station,North End
551,North Station,Haymarket Square
620,Northeastern University,Back Bay
667,West End,North End
674,Fenway,Theatre District
685,Financial District,Boston University
687,Beacon Hill,Haymarket Square
716,Theatre District,Boston University
738,Back Bay,Haymarket Square
778,Fenway,Back Bay
810,Beacon Hill,Boston University
817,Theatre District,Northeastern University
831,Fenway,West End
838,Financial District,Haymarket Square
874,North Station,South Station
1035,Northeastern University,West End
1183,Financial District,Fenway
1296,West End,Haymarket Square
1381,Boston University,Theatre District
1747,North Station,Boston University
2030,South Station,West End
2278,Boston University,Financial District
3138,Beacon Hill,Fenway
